p,n,runs,mean time ms,std time ms
1,65536,200,0.066141,0.001216
2,65536,200,0.034125,0.001328
4,65536,200,0.020449,0.032436
8,65536,200,0.011698,0.002975
16,65536,200,0.011642,0.004663
32,65536,200,0.016721,0.010644
1,1048576,200,1.054783,0.003921
2,1048576,200,0.528952,0.005350
4,1048576,200,0.270059,0.032666
8,1048576,200,0.137813,0.032428
16,1048576,200,0.073655,0.005321
32,1048576,200,0.048059,0.010614
1,16777216,200,16.897163,0.027162
2,16777216,200,8.538035,0.440706
4,16777216,200,4.234433,0.011309
8,16777216,200,2.115738,0.007457
16,16777216,200,1.066667,0.007504
32,16777216,200,0.544633,0.011636
1,268435456,200,270.412024,0.685496
2,268435456,200,135.636811,1.293651
4,268435456,200,67.524343,0.034544
8,268435456,200,33.783464,0.048606
16,268435456,200,16.933644,0.080944
32,268435456,200,8.564843,0.329321
